College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Assam University Silchar,Agricultural Engineering,All India,OPEN,Gender-Neutral,58197,73662
Assam University Silchar,Agricultural Engineering,All India,OPEN,Female-only,68243,68243
Assam University Silchar,Agricultural Engineering,All India,OPEN (PwD),Gender-Neutral,1032,1032
Assam University Silchar,Agricultural Engineering,All India,EWS,Gender-Neutral,10765,11690
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Gender-Neutral,23389,26857
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Female-only,25747,25747
Assam University Silchar,Agricultural Engineering,All India,SC,Gender-Neutral,11430,13512
Assam University Silchar,Agricultural Engineering,All India,ST,Gender-Neutral,5377,5856
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Gender-Neutral,125600,159214
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Female-only,129629,129629
Assam University Silchar,Agricultural Engineering,Home State,EWS,Gender-Neutral,23746,30183
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Gender-Neutral,73432,85861
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Female-only,77452,77452
Assam University Silchar,Agricultural Engineering,Home State,SC,Gender-Neutral,16550,21841
Assam University Silchar,Agricultural Engineering,Home State,SC,Female-only,21049,21049
Assam University Silchar,Agricultural Engineering,Home State,ST,Gender-Neutral,6618,7236
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Gender-Neutral,32937,48985
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Female-only,49476,49476
Assam University Silchar,Computer Science and Engineering,All India,OPEN (PwD),Gender-Neutral,1618,1618
Assam University Silchar,Computer Science and Engineering,All India,EWS,Gender-Neutral,7916,8300
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,16005,18377
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Female-only,21274,21274
Assam University Silchar,Computer Science and Engineering,All India,SC,Gender-Neutral,8992,9658
Assam University Silchar,Computer Science and Engineering,All India,ST,Gender-Neutral,3846,3962
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,80319,87732
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Female-only,115147,115147
Assam University Silchar,Computer Science and Engineering,Home State,OPEN (PwD),Gender-Neutral,3099,3099
Assam University Silchar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,14070,15801
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,43335,56970
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Female-only,69071,69071
Assam University Silchar,Computer Science and Engineering,Home State,SC,Gender-Neutral,13347,13772
Assam University Silchar,Computer Science and Engineering,Home State,SC,Female-only,12197,12197
Assam University Silchar,Computer Science and Engineering,Home State,ST,Gender-Neutral,4594,5440
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,47997,59214
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Female-only,57628,57628
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN (PwD),Gender-Neutral,3972,3972
Assam University Silchar,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,8637,9212
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,18383,20009
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,22835,22835
Assam University Silchar,Electronics and Communication Engineering,All India,SC,Gender-Neutral,10055,11017
Assam University Silchar,Electronics and Communication Engineering,All India,ST,Gender-Neutral,3645,4717
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,79517,95560
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Female-only,110055,110055
Assam University Silchar,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,16299,17736
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,57334,69245
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Female-only,70503,70503
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Gender-Neutral,13475,14795
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Female-only,14723,14723
Assam University Silchar,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,5792,6010
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),All India,OPEN,Gender-Neutral,586,809
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),All India,EWS,Gender-Neutral,280,280
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),All India,OBC-NCL,Gender-Neutral,451,478
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),All India,SC,Gender-Neutral,263,269
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),All India,ST,Gender-Neutral,56,56
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),Home State,OPEN,Gender-Neutral,1527,2236
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),Home State,EWS,Gender-Neutral,1169,1169
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),Home State,SC,Gender-Neutral,1319,1319
Birla Institute of Technology Mesra Ranchi,Architecture (5 Years, Bachelor of Architecture),Home State,ST,Gender-Neutral,201,318
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OPEN,Gender-Neutral,16851,19027
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OPEN,Female-only,28928,29608
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OPEN (PwD),Gender-Neutral,1000,1000
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,EWS,Gender-Neutral,2616,3291
Birla Institute of Technology Mesra Ranchi,Artificial Intelligence and Machine Learning,All India,OBC-NCL,Gender-Neutral,7881,8241
