College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,OPEN,Gender-Neutral,22567,31569
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,OPEN (PWD),Gender-Neutral,1909,1909
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,EWS,Gender-Neutral,4480,4766
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,OBC-NCL,Gender-Neutral,11396,12513
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,OBC-NCL (PwD),Gender-Neutral,1773,1773
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,SC,Gender-Neutral,8605,8945
Indian Institute of Information Technology Bhopal,Mathematics and Computing,All India,ST,Gender-Neutral,3874,4476
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,OPEN,Gender-Neutral,10586,25450
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,OPEN (PwD),Gender-Neutral,680,1369
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,EWS,Gender-Neutral,3498,4220
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,EWS (PWD),Gender-Neutral,216,216
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,8223,10975
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,OBC-NCL (PWD),Gender-Neutral,670,703
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,SC,Gender-Neutral,3657,7605
Indian Institute of Information Technology Bhopal,Computer Science and Engineering,All India,ST,Gender-Neutral,2215,3778
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,OPEN,Gender-Neutral,16175,25336
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,OPEN (PWD),Gender-Neutral,1081,1081
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,EWS,Gender-Neutral,3477,3660
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,OBC-NCL,Gender-Neutral,7359,10796
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,OBC-NCL (PWD),Gender-Neutral,1246,1246
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,SC,Gender-Neutral,4394,6546
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Artificial Intelligence),All India,ST,Gender-Neutral,1392,2903
Indian Institute of Information Technology Bhopal,Computer Science and Engineering (Cyber Physical System),All India,OPEN,Gender-Neutral,28845,32341
