National Institute of Technology Agartala,Civil Engineering,All India,OBC-NCL,Female-only,138445,148379
National Institute of Technology Agartala,Civil Engineering,All India,SC,Gender-Neutral,206484,210590
National Institute of Technology Agartala,Computer Science and Engineering,All India,OPEN,Gender-Neutral,26346,26422
National Institute of Technology Agartala,Computer Science and Engineering,All India,OPEN,Female-only,45502,45718
National Institute of Technology Agartala,Computer Science and Engineering,All India,EWS,Gender-Neutral,29089,29089
National Institute of Technology Agartala,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,30731,31911
National Institute of Technology Agartala,Computer Science and Engineering,All India,OBC-NCL,Female-only,52266,58488
National Institute of Technology Agartala,Computer Science and Engineering,All India,SC,Gender-Neutral,103667,103667
National Institute of Technology Agartala,Electrical Engineering,Home State,OPEN,Gender-Neutral,148888,153247
National Institute of Technology Agartala,Electrical Engineering,All India,OPEN,Female-only,72405,72405
National Institute of Technology Agartala,Electrical Engineering,All India,EWS,Gender-Neutral,49163,49163
National Institute of Technology Agartala,Electrical Engineering,All India,EWS,Female-only,82925,82925
National Institute of Technology Agartala,Electrical Engineering,All India,OBC-NCL,Gender-Neutral,51352,51352
National Institute of Technology Agartala,Electrical Engineering,All India,OBC-NCL,Female-only,75830,75830
National Institute of Technology Agartala,Electrical Engineering,All India,SC,Female-only,214288,214288
National Institute of Technology Agartala,Electronics and Communication Engineering,Home State,OPEN,Female-only,118131,118131
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,31570,32335
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,OPEN,Female-only,57477,58355
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,35598,35598
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,EWS,Female-only,60907,60907
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,38567,39836
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,63264,63264
National Institute of Technology Agartala,Electronics and Communication Engineering,All India,SC,Gender-Neutral,120832,120832
Motilal Nehru National Institute of Technology Allahabad,Bio Technology,Home State,EWS,Gender-Neutral,52512,52512
Motilal Nehru National Institute of Technology Allahabad,Bio Technology,All India,OPEN,Gender-Neutral,48979,48979
Motilal Nehru National Institute of Technology Allahabad,Bio Technology,All India,EWS,Gender-Neutral,55179,55179
Motilal Nehru National Institute of Technology Allahabad,Bio Technology,All India,OBC-NCL,Gender-Neutral,58933,58933
Motilal Nehru National Institute of Technology Allahabad,Bio Technology,All India,SC,Gender-Neutral,167826,167826
Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,Home State,OBC-NCL,Gender-Neutral,35240,35240
Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,All India,OPEN,Female-only,42580,44855
Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,All India,OBC-NCL,Gender-Neutral,34524,34524
Motilal Nehru National Institute of Technology Allahabad,Chemical Engineering,All India,OBC-NCL,Female-only,60488,60488
