College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OPEN,Gender-Neutral,58341,79511
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OPEN,Female-only,53648,65917
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,EWS,Gender-Neutral,12569,12569
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,EWS,Female-only,16293,16293
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OBC-NCL,Gender-Neutral,33291,60996
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OBC-NCL,Female-only,52894,72072
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,SC,Gender-Neutral,8799,12362
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,ST,Gender-Neutral,15566,15566
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OPEN,Gender-Neutral,41817,49981
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OPEN,Female-only,50433,53258
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,EWS,Gender-Neutral,7032,7090
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OBC-NCL,Gender-Neutral,14730,16401
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OBC-NCL,Female-only,20557,21981
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,SC,Gender-Neutral,7645,7727
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,SC,Female-only,8420,8420
Dr B R Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,ST,Gender-Neutral,3349,3426
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OPEN,Gender-Neutral,28297,57036
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OPEN,Female-only,54809,65488
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,EWS,Gender-Neutral,9243,10016
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,EWS,Female-only,9600,9600
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OBC-NCL,Gender-Neutral,41120,49321
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OBC-NCL,Female-only,37359,44470
Dr B R Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,SC,Gender-Neutral,7638,9501
