College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,1252,1355
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,EWS,Female-only,2501,2501
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,2648,3446
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,OBC-NCL,Female-only,5722,5997
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,PWD OBC-NCL,Gender-Neutral,571,571
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,SC,Gender-Neutral,1539,2094
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,SC,Female-only,3883,3883
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,529,580
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Home State,ST,Female-only,1450,1450
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,OPEN,Gender-Neutral,6608,8614
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,OPEN,Female-only,11903,13410
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,PWD OPEN,Female-only,1187,1187
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,EWS,Gender-Neutral,1218,1299
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,EWS,Female-only,2132,2132
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,PWD EWS,Gender-Neutral,66,66
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,OBC-NCL,Gender-Neutral,2769,3535
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,OBC-NCL,Female-only,5033,6233
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,PWD OBC-NCL,Gender-Neutral,90,90
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,SC,Gender-Neutral,990,2049
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,SC,Female-only,2422,2422
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,ST,Gender-Neutral,464,648
Malaviya National Institute of Technology Jaipur,Electronics and Communication Engineering,Other State,ST,Female-only,1064,1064
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,OPEN,Gender-Neutral,11118,19096
Malaviya National Institute of Technology Jaipur,Mechanical Engineering,Home State,OPEN,Female-only,21551,26463
