College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OPEN,Gender-Neutral,15909,37181
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OPEN,Female-only,32815,43093
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,PWD OPEN,Gender-Neutral,1857,1997
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,PWD OPEN,Female-only,1339,1339
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,EWS,Gender-Neutral,5506,5876
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,EWS,Female-only,7400,7802
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,PWD EWS,Gender-Neutral,336,336
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,10886,14416
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,OBC-NCL,Female-only,15610,18645
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,PWD OBC-NCL,Gender-Neutral,1075,1075
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,SC,Gender-Neutral,6316,8347
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,SC,Female-only,6141,7955
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,ST,Gender-Neutral,2545,3920
Indian Institute of Information Technology Agartala,Computer Science and Engineering,All India,ST,Female-only,4081,4766
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,5270,7228
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OPEN,Female-only,10602,14511
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,PWD OPEN,Gender-Neutral,376,486
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,PWD OPEN,Female-only,576,576
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,849,1066
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,EWS,Female-only,2059,2194
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,PWD EWS,Gender-Neutral,80,80
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,2293,3175
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,5713,7806
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,PWD OBC-NCL,Gender-Neutral,246,246
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,SC,Gender-Neutral,1678,2107
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,SC,Female-only,3090,3637
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,PWD SC,Gender-Neutral,91,91
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,ST,Gender-Neutral,535,1012
Indian Institute of Information Technology Allahabad,Electronics and Communication Engineering,All India,ST,Female-only,2371,2378
Indian Institute of Information Technology Allahabad,Information Technology,All India,OPEN,Gender-Neutral,2055,5177
Indian Institute of Information Technology Allahabad,Information Technology,All India,OPEN,Female-only,2286,10333
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD OPEN,Gender-Neutral,106,247
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD OPEN,Female-only,339,339
Indian Institute of Information Technology Allahabad,Information Technology,All India,EWS,Gender-Neutral,578,836
Indian Institute of Information Technology Allahabad,Information Technology,All India,EWS,Female-only,1389,1836
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD EWS,Gender-Neutral,56,56
Indian Institute of Information Technology Allahabad,Information Technology,All India,OBC-NCL,Gender-Neutral,1073,2409
Indian Institute of Information Technology Allahabad,Information Technology,All India,OBC-NCL,Female-only,3019,4713
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD OBC-NCL,Gender-Neutral,97,158
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD OBC-NCL,Female-only,234,234
Indian Institute of Information Technology Allahabad,Information Technology,All India,SC,Gender-Neutral,469,1608
Indian Institute of Information Technology Allahabad,Information Technology,All India,SC,Female-only,1392,2975
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD SC,Gender-Neutral,43,50
Indian Institute of Information Technology Allahabad,Information Technology,All India,ST,Gender-Neutral,518,847
Indian Institute of Information Technology Allahabad,Information Technology,All India,ST,Female-only,656,919
Indian Institute of Information Technology Allahabad,Information Technology,All India,PWD ST,Gender-Neutral,110,110
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,OPEN,Gender-Neutral,1783,5368
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,OPEN,Female-only,6587,10412
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,PWD OPEN,Gender-Neutral,210,210
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,EWS,Gender-Neutral,650,847
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,EWS,Female-only,1845,1845
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,OBC-NCL,Gender-Neutral,1635,2458
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,OBC-NCL,Female-only,5102,5325
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,PWD OBC-NCL,Gender-Neutral,198,198
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,SC,Gender-Neutral,628,1628
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,SC,Female-only,2359,2359
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,ST,Gender-Neutral,494,609
Indian Institute of Information Technology Allahabad,Information Technology-Business Informatics,All India,ST,Female-only,1186,1186
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,OPEN,Gender-Neutral,24940,37751
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,OPEN,Female-only,29881,41217
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,PWD OPEN,Gender-Neutral,1203,1543
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,EWS,Gender-Neutral,5264,5740
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,EWS,Female-only,6678,7062
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,PWD EWS,Gender-Neutral,254,254
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,10861,14488
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,OBC-NCL,Female-only,14896,18314
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,PWD OBC-NCL,Gender-Neutral,752,845
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,SC,Gender-Neutral,7661,8750
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,SC,Female-only,8015,8528
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,ST,Gender-Neutral,3313,4281
Indian Institute of Information Technology Bhagalpur,Computer Science and Engineering,All India,ST,Female-only,4511,4511
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,26166,40291
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,OPEN,Female-only,41748,43451
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,PWD OPEN,Gender-Neutral,2553,2560
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,5792,6238
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,EWS,Female-only,7295,7295
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,13838,15417
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,18957,18957
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,PWD OBC-NCL,Gender-Neutral,1196,1196
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,SC,Gender-Neutral,7770,9121
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,SC,Female-only,9784,9897
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,ST,Gender-Neutral,4439,4591
Indian Institute of Information Technology Bhagalpur,Electronics and Communication Engineering,All India,ST,Female-only,4951,4951
Indian Institute of Information Technology Bhagalpur,Mathematics and Computing,All India,OPEN,Gender-Neutral,25314,38171
