College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Assam University Silchar,Agricultural Engineering,All India,OPEN,Gender-Neutral,39074,66923
Assam University Silchar,Agricultural Engineering,All India,OPEN,Female-only,68243,68243
Assam University Silchar,Agricultural Engineering,All India,PWD OPEN,Gender-Neutral,1032,1032
Assam University Silchar,Agricultural Engineering,All India,EWS,Gender-Neutral,10119,10958
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Gender-Neutral,21209,23389
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Female-only,24871,24871
Assam University Silchar,Agricultural Engineering,All India,SC,Gender-Neutral,11151,12119
Assam University Silchar,Agricultural Engineering,All India,ST,Gender-Neutral,4612,4635
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Gender-Neutral,94565,141227
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Female-only,129629,129629
Assam University Silchar,Agricultural Engineering,Home State,EWS,Gender-Neutral,22205,23746
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Gender-Neutral,52108,69612
Assam University Silchar,Agricultural Engineering,Home State,OBC-NCL,Female-only,70635,70635
Assam University Silchar,Agricultural Engineering,Home State,SC,Gender-Neutral,16550,21582
Assam University Silchar,Agricultural Engineering,Home State,SC,Female-only,14181,14181
Assam University Silchar,Agricultural Engineering,Home State,ST,Gender-Neutral,6233,6618
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Gender-Neutral,32251,45009
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Female-only,44196,44196
Assam University Silchar,Computer Science and Engineering,All India,PWD OPEN,Gender-Neutral,1027,1027
Assam University Silchar,Computer Science and Engineering,All India,EWS,Gender-Neutral,6995,7753
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,14713,17023
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Female-only,16458,16458
Assam University Silchar,Computer Science and Engineering,All India,SC,Gender-Neutral,7276,8992
Assam University Silchar,Computer Science and Engineering,All India,ST,Gender-Neutral,3846,3944
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,51515,84087
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Female-only,58413,58413
Assam University Silchar,Computer Science and Engineering,Home State,PWD OPEN,Gender-Neutral,3099,3099
Assam University Silchar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,12264,14070
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,38787,46885
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Female-only,65659,65659
Assam University Silchar,Computer Science and Engineering,Home State,SC,Gender-Neutral,11350,13347
Assam University Silchar,Computer Science and Engineering,Home State,SC,Female-only,11992,11992
Assam University Silchar,Computer Science and Engineering,Home State,ST,Gender-Neutral,4594,4841
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,29871,50710
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Female-only,57126,57126
Assam University Silchar,Electronics and Communication Engineering,All India,PWD OPEN,Gender-Neutral,2475,2475
Assam University Silchar,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,7841,8126
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,15405,17790
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Female-only,17591,17591
Assam University Silchar,Electronics and Communication Engineering,All India,SC,Gender-Neutral,8086,9425
Assam University Silchar,Electronics and Communication Engineering,All India,ST,Gender-Neutral,3645,3962
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,79517,92405
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Female-only,89120,89120
Assam University Silchar,Electronics and Communication Engineering,Home State,PWD OPEN,Gender-Neutral,3211,3211
Assam University Silchar,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,16299,17225
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,47586,54835
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Female-only,70503,70503
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Gender-Neutral,13154,14268
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Female-only,13772,13772
Assam University Silchar,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,5440,5877
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OPEN,Gender-Neutral,33283,46953
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OPEN,Female-only,44061,49057
