College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Assam University Silchar,Agricultural Engineering,All India,OPEN,Gender-Neutral,225599,324779
Assam University Silchar,Agricultural Engineering,All India,EWS,Gender-Neutral,378194,430850
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Gender-Neutral,418975,773714
Assam University Silchar,Agricultural Engineering,All India,OBC-NCL,Female-only,639536,752315
Assam University Silchar,Agricultural Engineering,All India,SC,Gender-Neutral,362264,460239
Assam University Silchar,Agricultural Engineering,All India,ST,Gender-Neutral,766122,917557
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Gender-Neutral,503619,824662
Assam University Silchar,Agricultural Engineering,Home State,OPEN,Female-only,330525,330525
Assam University Silchar,Agricultural Engineering,Home State,EWS,Gender-Neutral,1232558,1232558
Assam University Silchar,Agricultural Engineering,Home State,SC,Gender-Neutral,1320868,1320868
Assam University Silchar,Agricultural Engineering,Home State,SC,Female-only,1009288,1009288
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Gender-Neutral,86165,114464
Assam University Silchar,Computer Science and Engineering,All India,OPEN,Female-only,107614,107614
Assam University Silchar,Computer Science and Engineering,All India,EWS,Gender-Neutral,115053,127761
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,116393,126049
Assam University Silchar,Computer Science and Engineering,All India,OBC-NCL,Female-only,117655,117655
Assam University Silchar,Computer Science and Engineering,All India,SC,Gender-Neutral,255175,255175
Assam University Silchar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,190357,202368
Assam University Silchar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,255482,264986
Assam University Silchar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,300574,383920
Assam University Silchar,Computer Science and Engineering,Home State,SC,Gender-Neutral,401926,404843
Assam University Silchar,Computer Science and Engineering,Home State,ST,Gender-Neutral,595686,595686
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,126899,153944
Assam University Silchar,Electronics and Communication Engineering,All India,OPEN,Female-only,141920,141920
Assam University Silchar,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,163604,177302
Assam University Silchar,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,154935,166019
Assam University Silchar,Electronics and Communication Engineering,All India,SC,Gender-Neutral,293447,314305
Assam University Silchar,Electronics and Communication Engineering,All India,ST,Gender-Neutral,360539,393354
Assam University Silchar,Electronics and Communication Engineering,Home State,OPEN,Gender-Neutral,240357,313642
Assam University Silchar,Electronics and Communication Engineering,Home State,EWS,Gender-Neutral,415680,463716
Assam University Silchar,Electronics and Communication Engineering,Home State,OBC-NCL,Gender-Neutral,580873,910722
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Gender-Neutral,470131,489700
Assam University Silchar,Electronics and Communication Engineering,Home State,SC,Female-only,443953,443953
Assam University Silchar,Electronics and Communication Engineering,Home State,ST,Gender-Neutral,533846,548370
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OPEN,Gender-Neutral,97979,114105
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OPEN,Female-only,101877,116413
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,EWS,Gender-Neutral,123401,137470
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,OBC-NCL,Gender-Neutral,119151,152183
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,SC,Gender-Neutral,285131,293715
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,All India,ST,Gender-Neutral,663499,1367475
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,209866,284407
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,OPEN,Female-only,216289,250362
Birla Institute of Technology Deoghar Off-Campus,Computer Science and Engineering,Home State,EWS,Gender-Neutral,385864,861293
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,OPEN,Gender-Neutral,154903,200375
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,OPEN,Female-only,169204,185446
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,EWS,Gender-Neutral,225769,288324
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,OBC-NCL,Gender-Neutral,208547,240118
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,All India,SC,Gender-Neutral,338604,410911
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,Home State,OPEN,Gender-Neutral,446517,592235
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,Home State,OPEN,Female-only,425169,434101
Birla Institute of Technology Deoghar Off-Campus,Electrical and Electronics Engineering,Home State,SC,Gender-Neutral,824821,974458
Birla Institute of Technology Deoghar Off-Campus,Electronics and Communication Engineering,All India,OPEN,Gender-Neutral,133876,172445
Birla Institute of Technology Deoghar Off-Campus,Electronics and Communication Engineering,All India,OPEN,Female-only,156232,165376
Birla Institute of Technology Deoghar Off-Campus,Electronics and Communication Engineering,All India,EWS,Gender-Neutral,185013,205246
Birla Institute of Technology Deoghar Off-Campus,Electronics and Communication Engineering,All India,OBC-NCL,Gender-Neutral,174869,219403
