College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,All India,EWS,Gender-Neutral,87069,87069
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,All India,EWS,Female-only,124831,124831
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,All India,ST,Gender-Neutral,355806,392415
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Home State,SC,Gender-Neutral,833335,949243
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Home State,SC,Female-only,735705,735705
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,OPEN,Gender-Neutral,80683,82632
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,OPEN,Female-only,113614,113614
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,EWS,Gender-Neutral,87262,88653
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,EWS,Female-only,126357,126357
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,OBC-NCL,Gender-Neutral,84410,85732
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,OBC-NCL,Female-only,130691,141813
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,SC,Gender-Neutral,217113,217113
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,SC,Female-only,267534,267534
National Institute of Technology Agartala,Biotechnology and Biochemical Engineering,Other State,ST,Gender-Neutral,392451,408768
National Institute of Technology Agartala,Chemical Engineering,All India,EWS,Gender-Neutral,66612,71176
National Institute of Technology Agartala,Chemical Engineering,All India,EWS,Female-only,105395,105395
National Institute of Technology Agartala,Chemical Engineering,All India,ST,Gender-Neutral,289388,297088
National Institute of Technology Agartala,Chemical Engineering,Home State,OPEN,Gender-Neutral,313139,321060
National Institute of Technology Agartala,Chemical Engineering,Home State,SC,Gender-Neutral,741138,1058009
National Institute of Technology Agartala,Chemical Engineering,Other State,OPEN,Gender-Neutral,58585,64149
National Institute of Technology Agartala,Chemical Engineering,Other State,OPEN,Female-only,102211,104715
National Institute of Technology Agartala,Chemical Engineering,Other State,EWS,Gender-Neutral,71288,73236
National Institute of Technology Agartala,Chemical Engineering,Other State,EWS,Female-only,107710,107710
National Institute of Technology Agartala,Chemical Engineering,Other State,OBC-NCL,Gender-Neutral,67060,73498
National Institute of Technology Agartala,Chemical Engineering,Other State,OBC-NCL,Female-only,111970,112555
National Institute of Technology Agartala,Chemical Engineering,Other State,SC,Gender-Neutral,197299,203706
National Institute of Technology Agartala,Chemical Engineering,Other State,SC,Female-only,249480,249480
National Institute of Technology Agartala,Chemical Engineering,Other State,ST,Gender-Neutral,301093,327598
National Institute of Technology Agartala,Chemistry,All India,EWS,Gender-Neutral,113459,113697
National Institute of Technology Agartala,Chemistry,All India,ST,Gender-Neutral,437108,501910
National Institute of Technology Agartala,Chemistry,Home State,SC,Gender-Neutral,1082251,1082251
National Institute of Technology Agartala,Chemistry,Other State,OPEN,Gender-Neutral,96288,101698
National Institute of Technology Agartala,Chemistry,Other State,EWS,Gender-Neutral,115923,116053
National Institute of Technology Agartala,Chemistry,Other State,OBC-NCL,Gender-Neutral,106579,111126
National Institute of Technology Agartala,Chemistry,Other State,SC,Gender-Neutral,245830,245830
National Institute of Technology Agartala,Chemistry,Other State,ST,Gender-Neutral,509090,510820
National Institute of Technology Agartala,Civil Engineering,All India,EWS,Gender-Neutral,73438,74383
National Institute of Technology Agartala,Civil Engineering,Home State,OPEN,Gender-Neutral,265375,265375
National Institute of Technology Agartala,Civil Engineering,Home State,OPEN,Female-only,243236,243236
National Institute of Technology Agartala,Civil Engineering,Home State,SC,Gender-Neutral,463301,463301
National Institute of Technology Agartala,Civil Engineering,Other State,OPEN,Gender-Neutral,67737,68514
National Institute of Technology Agartala,Civil Engineering,Other State,OPEN,Female-only,110547,115910
National Institute of Technology Agartala,Civil Engineering,Other State,EWS,Gender-Neutral,74610,76203
National Institute of Technology Agartala,Civil Engineering,Other State,EWS,Female-only,117323,117323
National Institute of Technology Agartala,Civil Engineering,Other State,OBC-NCL,Gender-Neutral,71400,74828
