College,Branch,Quota,Category,Gender,Opening Rank,Closing Rank
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OPEN,Gender-Neutral,58341,72335
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OPEN,Female-only,53648,65917
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,EWS,Gender-Neutral,11534,11534
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,EWS,Female-only,16293,16293
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OBC-NCL,Gender-Neutral,33291,60996
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,OBC-NCL,Female-only,52894,72072
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,SC,Gender-Neutral,8799,12362
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Home State,ST,Gender-Neutral,15566,15566
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OPEN,Gender-Neutral,41817,46373
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OPEN,Female-only,50433,53177
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,EWS,Gender-Neutral,6730,6829
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OBC-NCL,Gender-Neutral,13898,15164
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,OBC-NCL,Female-only,20557,20859
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,SC,Gender-Neutral,7645,7724
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,SC,Female-only,8420,8420
Dr. BR Ambedkar National Institute of Technology Jalandhar,Bio Technology,Other State,ST,Gender-Neutral,3135,3137
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OPEN,Gender-Neutral,28297,52584
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OPEN,Female-only,54809,63822
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,EWS,Gender-Neutral,9243,10016
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,EWS,Female-only,9600,9600
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OBC-NCL,Gender-Neutral,40042,48802
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,OBC-NCL,Female-only,37359,44470
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,SC,Gender-Neutral,7638,9501
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Home State,SC,Female-only,7401,7401
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OPEN,Gender-Neutral,21827,36961
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OPEN,Female-only,41030,47120
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OPEN (PWD),Gender-Neutral,1897,1897
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,EWS,Gender-Neutral,5279,5398
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,EWS,Female-only,7045,7045
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OBC-NCL,Gender-Neutral,10470,11343
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,OBC-NCL,Female-only,18859,19143
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,SC,Gender-Neutral,4348,6187
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,SC,Female-only,7234,7234
Dr. BR Ambedkar National Institute of Technology Jalandhar,Chemical Engineering,Other State,ST,Gender-Neutral,2120,2496
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OPEN,Gender-Neutral,46722,57036
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OPEN,Female-only,54402,64698
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OPEN (PWD),Gender-Neutral,2711,2711
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,EWS,Gender-Neutral,8326,10180
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,EWS,Female-only,12630,12630
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OBC-NCL,Gender-Neutral,34344,50919
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,OBC-NCL,Female-only,43683,63114
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,SC,Gender-Neutral,7618,9573
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Home State,SC,Female-only,11172,11172
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OPEN,Gender-Neutral,25507,40451
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OPEN,Female-only,42935,49801
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OPEN (PWD),Gender-Neutral,1098,1098
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,EWS,Gender-Neutral,5809,6032
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,EWS,Female-only,7698,7698
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OBC-NCL,Gender-Neutral,11856,12899
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,OBC-NCL,Female-only,20034,20097
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,SC,Gender-Neutral,5574,6214
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,SC,Female-only,1933,1933
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,ST,Gender-Neutral,670,1292
Dr. BR Ambedkar National Institute of Technology Jalandhar,Civil Engineering,Other State,ST,Female-only,3181,3181
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OPEN,Gender-Neutral,6821,15902
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OPEN,Female-only,17315,18633
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OPEN (PWD),Female-only,2038,2038
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,EWS,Gender-Neutral,2151,2990
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,EWS,Female-only,2865,3397
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OBC-NCL,Gender-Neutral,3960,8793
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,OBC-NCL,Female-only,4979,10562
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,SC,Gender-Neutral,967,3454
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,SC,Female-only,3449,3812
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,ST,Gender-Neutral,2251,3795
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Home State,ST,Female-only,9914,9914
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OPEN,Gender-Neutral,1818,10232
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OPEN,Female-only,14569,18724
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OPEN (PWD),Gender-Neutral,380,380
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,EWS,Gender-Neutral,1341,1568
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,EWS,Female-only,2555,2555
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OBC-NCL,Gender-Neutral,2600,3751
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OBC-NCL,Female-only,6820,7634
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,OBC-NCL (PWD),Female-only,364,364
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,SC,Gender-Neutral,971,2100
Dr. BR Ambedkar National Institute of Technology Jalandhar,Computer Science and Engineering,Other State,SC,Female-only,2514,3741
